id_site,nom,region,ville_commune,type_activite,sous_types_tags,latitude,longitude,adresse_ou_description_localisation,difficulte,duree_typique_visite,prix_approximatif_ar,prix_approximatif_eur,saison_recommandee,note_moyenne,nombre_avis,source_note,lien_page,description_courte,acces_transport,contraintes,cluster
1,Rova de Manjakamiadana (Palais de la Reine),Antananarivo Renivohitra,Antananarivo,Culture et histoire,patrimoine;histoire;palais;royauté,-18.9236,47.5361,Haute ville d'Antananarivo,Facile,2.5,10000,1.8,Mai à octobre,5.0,0,site_web,https://progranit.mg/project/rova-de-manjakamiadana,Ancien palais royal dominant la capitale,Taxi ou marche à pied,Accessible en journée,0
2,Colline royale d'Ambohimanga,Antananarivo Avaradrano,Antananarivo,Sites UNESCO,UNESCO;patrimoine;royauté;sacré,-18.7597,47.5625,À 24 km au nord d'Antananarivo,Moyenne,3.5,15000,2.7,Avril à novembre,4.5,0,site_web,https://journals.openedition.org/tourisme/508,Site UNESCO ancienne cité royale merina,Taxi-brousse ou voiture,Guide recommandé,2
3,Palais d'Andafiavaratra,Antananarivo Renivohitra,Antananarivo,Culture et histoire,musée;histoire;architecture,-18.9119,47.5322,Centre-ville d'Antananarivo,Facile,1.5,5000,0.9,Mai à octobre,4.2,0,site_web,https://www.iccrom.org/news/re-org-madagascar,Ancien palais du Premier Ministre,Taxi ou marche à pied,Horaires variables,2
4,Lemurs' Park,Antananarivo Atsimondrano,Antananarivo,Culture et histoire,lémuriens;faune;conservation,-18.9786,47.4858,Route d'Imerintsiatosika,Facile,2.5,25000,4.5,Mai à octobre,4.4,930,tripadvisor,https://www.tripadvisor.com/Attraction_Review-g293809-d2208995-Reviews-Lemurs_Park-Antananarivo_Antananarivo_Province.html,Parc privé de conservation des lémuriens,Taxi ou voiture privée,Réservation conseillée,5
5,Parc Botanique & zoologique de Tsimbazaza,Antananarivo Renivohitra,Antananarivo,Culture et histoire,jardin;musée;faune,-18.9333,47.5278,Quartier Tsimbazaza,Facile,2.5,8000,1.4,Mai à octobre,4.4,0,site_web,https://www.madagascarbio.org/,Jardin botanique et musée d'histoire naturelle,Taxi ou marche,En centre-ville,2
6,Lac Anosy,Antananarivo Renivohitra,Antananarivo,Culture et histoire,lac;monument;ville,-18.9278,47.525,Centre d'Antananarivo,Facile,0.5,0,0.0,Toute l'année,4.0,0,site_web,,Lac artificiel en forme de cœur avec monument,Taxi ou marche,Accès libre,2
7,Marché d'Andravoahangy,Antananarivo Renivohitra,Antananarivo,Artisanat et marchés,marché;artisanat;souvenirs,-18.9,47.5333,Quartier Andravoahangy,Facile,1.5,0,0.0,Toute l'année,4.1,0,site_web,,Grand marché artisanal et produits locaux,Taxi ou bus,Méfiez-vous des pickpockets,2
8,Palais du Premier Ministre,Antananarivo Renivohitra,Antananarivo,Culture et histoire,histoire;architecture;palais,-18.9114,47.5317,Haute ville d'Antananarivo,Facile,1.0,5000,0.9,Mai à octobre,4.0,0,site_web,,Ancienne résidence du Premier Ministre,Taxi ou marche,Visite extérieure,2
9,Cathédrale d'Andohalo,Antananarivo Renivohitra,Antananarivo,Culture et histoire,religion;architecture;histoire,-18.9158,47.5283,Ville haute d'Antananarivo,Facile,0.5,0,0.0,Toute l'année,4.2,0,site_web,,Cathédrale catholique historique,Taxi ou marche,Accès libre,2
10,Musée de la Photographie,Antananarivo Renivohitra,Antananarivo,Culture et histoire,musée;photographie;histoire,-18.91,47.53,Centre-ville d'Antananarivo,Facile,1.0,5000,0.9,Mai à octobre,4.3,0,site_web,https://www.photo-madagascar.com/,Musée dédié à l'histoire de la photographie,Taxi ou marche,Petit musée,2
